año,mes,ipc_alimentos_y_bebidas_no_alcohólicas,inflación_mensual,inflación_anual,inflación_acumulada
2015,Octubre,104.5574828543378,-0.003866446531783363,0.03872805820356362,0.031400000000000004
2015,Noviembre,104.60474497449846,0.0004520204472260314,0.03324379817110712,0.0319
2015,Diciembre,105.06157561837304,0.0043672076633420875,0.03637371970393444,0.0364
2016,Enero,105.23275680662876,0.0016293415289860835,0.03353300938349246,0.0016
2016,Febrero,106.01971614024043,0.007478273471992702,0.03692087028369695,0.0091
2016,Marzo,106.69311045056514,0.006351595107404018,0.0386302459602732,0.0155
2016,Abril,107.35969037863828,0.006247637970794528,0.028329749510766833,0.0219
2016,Mayo,107.54173592608984,0.0016956601384516823,0.027757273325551335,0.0236
2016,Junio,108.07569375026584,0.00496512186248288,0.02855695000426417,0.0287
2016,Julio,107.77526781028878,-0.0027797734120612594,0.028768287094925293,0.0258
2016,Agosto,107.23352240022407,-0.005026620866471099,0.023151248224241083,0.0207
2016,Septiembre,106.878457181975,-0.003311140120193734,0.018245795857588787,0.0173
2016,Octubre,106.27603248097836,-0.005636540018265079,0.01643640971191629,0.0116
2016,Noviembre,105.98509136790769,-0.0027375985561255423,0.013195829632257405,0.0088
2016,Diciembre,106.27401728322432,0.002726099601251253,0.011540295847602522,0.0115
2017,Enero,106.79525338604871,0.0049046428859018665,0.01484800576203793,0.0049
2017,Febrero,107.29633613408298,0.004691994561059065,0.012041345141443838,0.0096
2017,Marzo,108.06190921517076,0.00713512789598969,0.012829307898374775,0.0168
2017,Abril,109.33097122487412,0.011743842200459653,0.01836146173003561,0.0288
2017,Mayo,108.56390855580457,-0.007015968672699713,0.009504892411419164,0.0212
2017,Junio,108.21463669560993,-0.00321720049361629,0.0012856077118055254,0.0183
2017,Julio,107.42480462559575,-0.007298754532030993,-0.003251795999337559,0.0108
2017,Agosto,107.5003021619046,0.0007027942622002126,0.002487839210250309,0.0115
2017,Septiembre,106.75214893443608,-0.006959545344735307,-0.0011817933273855497,0.0045
2017,Octubre,106.2531200787179,-0.004674649275909881,-0.00021559331606169074,-0.0002
2017,Noviembre,105.52760320060771,-0.006828193633962809,-0.004316533216090601,-0.007
2017,Diciembre,106.02464555374797,0.00471006957483322,-0.0023464976280304084,-0.0023
2018,Enero,106.10508513770736,0.0007586876007863452,-0.006462536736969948,0.0007586876007863452
